"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"102","Exquizit",28,40.5399735585163,0.453108617736287,0.456045843844356,0.36883123423794,0.495166698479341,2,"medic"
"103","Fez",29,40.505464826567,0.337363096554389,0.421766027716462,0.350014363789861,0.359670543150408,3,"scout"
"104","Lev",29,40.3015343108934,0.304094533854503,0.504344624292607,0.302833768843755,0.43754839861609,10,"scout"
"105","Charlie",28,40.0529738345895,0.314417251671547,0.639441933523389,0.336445949290727,0.427300006661787,6,"scout"
"106","Manceloot",29,39.9903441598707,0.251857870852611,0.565453568536121,0.405683308721874,0.343852597582729,2,"scout"
"107","<user>",29,39.8470441853257,0.342284987919193,0.599940162949376,0.325760947340324,0.349998986288503,10,"demoman"
"108","yellow.",29,39.0919675334062,0.378633863428434,0.342134994973404,0.240282857836195,0.29128270329978,2,"medic"
"109","LiAm",28,38.7371999713603,0.445956036801869,0.422808047894983,0.435411155445008,0.370619184976694,12,"medic"
"110","lepingu",28,38.2591160004865,0.422458131574167,0.416553431023631,0.290097631165249,0.303717549890448,4,"scout"
"111","Ghosty",29,37.9332818894672,0.326426675743996,0.43302834822645,0.462282872964499,0.319543074348285,2,"demoman"
"112","Sean",28,37.4565621305002,0.253371407398715,0.603541795688704,0.349240598240822,0.603271593224849,17,"soldier"
"113","Dajono",28,36.3689595335435,0.429903574427822,0.39454225789642,0.37347271460887,0.363685840232983,10,"demoman"
"114","kanye",28,34.6931152581425,0.206914002768841,0.667869304716689,0.446169006260446,0.333939798278386,4,"soldier"
"115","jacc",28,34.467700620539,0.321441264315055,0.439424735594516,0.442865842397503,0.259981605634758,6,"scout"
"116","Hawk",29,34.1805820189322,0.202717612972225,0.446062110235511,0.370952540160716,0.394428728882707,6,"scout"
"117","john the asian",28,31.4205056963659,0.356159416109309,0.389681444717446,0.261541710637687,0.310879075916767,2,"soldier"
"118","kenji",28,30.8127520622682,0.279412386441294,0.412914558630033,0.43180189761909,0.237005006616853,2,"scout"
"119","eeur",29,26.6284368459699,0.159189013968668,0.433268065515064,0.270506232343754,0.300740196284336,2,"soldier"
"120","Bitler",29,21.5697765903839,0.1,0.562614916502577,0.101959215016438,0.455067995064966,2,"demoman"
