"","nickname","class_primary","total_games","kills","assists","deaths","dpm","hpm","kad","kd","dtm","deathspm","killspm","cpm","gamescore","impact","survive","efficiency","objective","perc_dpm","perc_kad","perc_dtm","perc_deathspm","perc_cpm","perc_kd","perc_kpm","perc_damageperheal","perc_damageperdt"
"49","Bread","soldier",6,16.5,4.66666666666667,19.3333333333333,246.266055151359,193.075531121668,1.0948275862069,0.853448275862069,244.279770120167,0.679911914321922,0.579247417538814,0.134029916973161,48.9722313258606,0.407046927725468,0.614650696998438,0.394685289651118,0.541984313951318,0.368895361909011,0.452486865853437,0.419079081217265,0.348019840043096,0.600254294490558,0.485881214323908,0.409782580572456,0.360791265048362,0.434128643891509
"50","BushMario!","scout",12,23.4166666666667,11.25,14.8333333333333,242.794121696256,255.962330261609,2.33707865168539,1.57865168539326,222.855655830351,0.5924454236781,0.848145188018885,0.260985755224308,50.4672407509107,0.540577795063418,0.488323664920235,0.390422822360172,0.417388201629878,0.50632271673796,0.532500424986681,0.601188865467231,0.482046313008486,0.43079204310865,0.510525435355254,0.5197825431277,0.288114169640713,0.42749869682761
"51","callum_","soldier",2,9.5,5,19.5,231.079311410079,149.254073725001,0.743589743589744,0.487179487179487,240.982960161521,0.922559744506236,0.454381012122238,0.0700833588671902,37.4440638526665,0.351934083461368,0.409238415058426,0.484375769492795,0.266836373821346,0.30913873583156,0.245197099316185,0.487961950283621,0.78647988910077,0.323524613377912,0.231561721863335,0.25678884843796,0.599452237451573,0.329532149689732
"52","Calski","scout",11,16.5454545454545,9.72727272727273,18.3636363636364,191.187443088791,163.388756046136,1.43069306930693,0.900990099009901,213.771886181394,0.752484390573748,0.612677622759377,0.27119967782076,35.3027459131004,0.266442600898932,0.484109298111719,0.364256525158722,0.403908362885361,0.215724437277911,0.278868124839168,0.475038489362165,0.625075755133277,0.456093185928567,0.270168894183758,0.267156999116951,0.449862941443456,0.229456860159438
"53","catfish","demoman",12,17.3333333333333,4.75,14.0833333333333,293.006124514919,326.644266189079,1.56804733727811,1.23076923076923,301.036466565775,0.600576307121991,0.696263866767677,0.0893779497289077,42.323845050851,0.47522091952209,0.351611245952265,0.345573337738288,0.372887663336092,0.440412525613501,0.378892584684265,0.731564140824588,0.635196104535449,0.328863466252567,0.415106434330891,0.544373519183761,0.303254842424145,0.286212434685395
"54","catfish","scout",12,21,6.58333333333333,14.3333333333333,226.215659824119,161.483283427388,1.92441860465116,1.46511627906977,202.994829617268,0.636939175917133,0.896675177339782,0.191575899300532,48.4969753134296,0.452010083456325,0.530046925625391,0.519751551211302,0.321387182479102,0.398342543832475,0.416191068883697,0.461436820493775,0.535868406564779,0.316736764758805,0.484968981895439,0.536403902054489,0.582044454267753,0.442918296041087
"55","ceekay","scout",13,21.2307692307692,9.30769230769231,15.3846153846154,268.806596832317,206.552417239442,1.985,1.38,220.704463351064,0.690644167886391,0.945905658902345,0.292267773370326,49.4002819226851,0.528171576975893,0.433490971168229,0.519522830743742,0.431482832894814,0.583474423448892,0.456825649036708,0.607210272263957,0.61733761951783,0.476160497029316,0.49634572848012,0.603162991420971,0.537980649828435,0.52583560647627
"56","cezyse","scout",10,19.3,13.5,13.3,216.209267461033,192.003676288888,2.46616541353383,1.45112781954887,181.310052662198,0.492959477474221,0.787292194123149,0.46235509006092,51.2335369460418,0.406301300135951,0.652843699772991,0.442083315592852,0.669127578419364,0.326045517062736,0.640557738835996,0.318430130288924,0.331202936156458,0.738248942845825,0.575970696671804,0.425731786261645,0.394819935219703,0.513019818314321
"57","Charlie","demoman",2,8,4.5,11,309.408394934146,352.038784785566,1.13636363636364,0.727272727272727,379.843168373211,0.639585156752539,0.438833292910546,0.194846621885248,33.4434455868989,0.344752281858828,0.331367455205866,0.246314448254209,0.303534239238104,0.352382421335778,0.284277597144179,0.868370875496633,0.562745897207877,0.640909070741396,0.257199995667106,0.179673942647009,0.148877875573387,0.157090040203732
"58","Charlie","scout",6,19.8333333333333,10.6666666666667,15.6666666666667,192.507282303799,191.160651486308,1.9468085106383,1.26595744680851,181.743236817724,0.497239427033013,0.633718752506854,0.339295732151167,41.3842680374968,0.315299280843503,0.645328436827408,0.335464110030592,0.427867935240881,0.253922109277495,0.440336845199623,0.351446536746638,0.357896589598545,0.572673386560515,0.415712040946453,0.305810667477511,0.310072897349342,0.356240762674072
