"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"182","Tesla",27,38.7494393620652,0.318096315961038,0.550240662482437,0.376668132512735,0.371249918593975,14,"soldier"
"183","zildjian",26,38.5349825895768,0.309845519583026,0.442054507827514,0.598030140460257,0.28406359165938,12,"soldier"
"184","undrex",25,38.4547589696796,0.357911913084859,0.591759500741706,0.412386908279516,0.432207594267801,2,"soldier"
"185","ayr",26,38.2974824181915,0.260693533349701,0.326996071380736,0.413092144762213,0.265941670411269,2,"medic"
"186","Phantom",27,37.8791344699814,0.311310779567892,0.473782783440544,0.332848625350752,0.408296503809522,10,"scout"
"187","JD",27,37.589936143233,0.299579936585392,0.528202508885933,0.435934886169331,0.355506773492981,4,"soldier"
"188","Phantom",26,36.9822671789849,0.292361344473339,0.596767734679355,0.278131236352618,0.347314654695648,4,"scout"
"189","harvey",25,36.9559565860239,0.41797378272394,0.340772158994622,0.309091776884848,0.293460937548489,2,"scout"
"190","Sean",25,36.9446496914439,0.340150818159936,0.403307122918802,0.45971033162147,0.483544012327692,14,"soldier"
"191","dubious",27,36.4358306986034,0.365449937276398,0.33367275237366,0.244203183893543,0.484528725041264,18,"scout"
"192","inStinct",26,36.3477204878463,0.273087784571676,0.496325000711491,0.483739204617024,0.353384133470808,10,"soldier"
"193","Charlie",27,36.2856055648685,0.291676199744896,0.462797096104011,0.36531806522433,0.370004967407588,4,"demoman"
"194","luca$",25,36.1849277432438,0.1,0.99997924435942,0.463144704005029,0.42626899197407,1,"soldier"
"195","ALT",26,36.1685058482963,0.332478776596266,0.357929201996206,0.33303791803124,0.470953490230849,2,"demoman"
"196","Eternal",25,35.8950584098665,0.33128447849225,0.420608078465364,0.399409689483176,0.394666796871567,10,"medic"
"197","blank",27,35.0273786473877,0.33045634778131,0.3045090377227,0.394384144610861,0.274748201577328,12,"demoman"
"198","meow",25,34.7091676264649,0.229959263659632,0.3167151959636,0.321608569322424,0.246979070477346,2,"medic"
"199","TheWiggin",25,34.5126554911163,0.30692471029238,0.347007078109794,0.459363595693328,0.373038333542113,10,"demoman"
"200","tokahontas",25,34.4841021252193,0.320870836926145,0.346351827209339,0.521168386283762,0.383686574688526,14,"soldier"
"201","frydog",27,34.27429161678,0.241236540162829,0.506064771277555,0.30771057754793,0.413612326074673,4,"demoman"
"202","cell",26,33.8066679092607,0.342433202360652,0.264980305807167,0.330777512568874,0.401743411585698,12,"soldier"
"203","Pengstah",26,33.5068868893674,0.274580432383907,0.437295997288663,0.29719162643711,0.412456268555446,10,"demoman"
"204","Eternal",27,31.562538105624,0.292780192359967,0.312916996146658,0.421526323332723,0.22009365905486,4,"scout"
"205","ory",25,31.1355140631211,0.294894695508307,0.273294789534671,0.497898051909282,0.222788163341539,2,"scout"
"206","jen",25,30.5568797408742,0.194610119988316,0.309658696315837,0.332211659371507,0.296807291949321,8,"medic"
"207","Bunneez",27,29.9475276276676,0.337944952674187,0.313110484723295,0.268937575095683,0.275721193418852,2,"soldier"
"208","TheWiggin",26,29.8694722255055,0.232379901607825,0.365465366074452,0.358215906407583,0.288455647520566,10,"demoman"
"209","TheWiggin",27,29.4611998429933,0.338910784044256,0.279414933402575,0.270870568515346,0.292918010150018,10,"soldier"
"210","blank",26,29.3160596646917,0.237855775981284,0.287323407882158,0.38739895357126,0.338868167057752,6,"demoman"
"211","Laz.",26,26.2698714441788,0.129422841010131,0.648893381329942,0.195035504205891,0.351842777472227,2,"scout"
