"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"72","Luggnuts",23.1969103528029,43.7742895588197,4,2.92993012888349,127.888752542026,"medic",0.459768004381991,0.537991027582412,0.501794481553373,0.3672408164061,72,23.1969103528029,4,69,-3,31
"73","morphe",22.9580882824625,43.5791647909313,4,2.92993012888349,126.572083373985,"demoman",0.354837133467337,0.64220361600111,0.506775522174805,0.366004450673154,73,22.9580882824625,4,70,-3,14
"74","Raelen",22.5690781076192,52.4292619352336,2,2,104.858523870467,"soldier",0.445669339741638,0.637482375194341,0.549075493179088,0.304500594342374,74,22.5690781076192,2,71,-3,71
"75","Ravu4",22.0566950257985,51.2389666701872,2,1.4142135623731,72.4628415869617,"medic",0.614098688402708,0.566005101755749,0.71005669561332,0.637090265055428,75,22.0566950257985,2,72,-3,19
"76","lepingu",21.2621820600453,39.9803764496627,4,2.92993012888349,117.222246351961,"scout",0.421916790525777,0.421446955455392,0.288600929763631,0.304488145116469,76,21.2621820600453,4,75,-1,42
"77","dev.",20.847240068074,48.4293334864553,2,2,96.8586669729106,"scout",0.309013302127384,0.821147236807611,0.545968114816535,0.347963789479635,77,20.847240068074,2,76,-1,76
"78","kanye",19.9971943723523,37.6804964813147,4,2.92993012888349,110.248140968978,"soldier",0.20393415485974,0.667122099664967,0.447751343904665,0.333681543516599,78,19.9971943723523,4,77,-1,41
"79","Yui",19.703428124992,45.7721927879061,2,2,91.5443855758121,"medic",0.578790384977978,0.496060571229392,0.490232560599114,0.284347038203957,79,NA,NA,NA,NA,79
"80","Navedh_k1ng",19.193833836993,44.5883760507402,2,2,89.1767521014805,"scout",0.468729230119026,0.535935722169337,0.260945811600395,0.329305866778507,80,19.193833836993,2,78,-2,67
"81","ory",18.7952474427009,43.6624370128004,2,2,87.3248740256008,"medic",0.454811213679205,0.53896844934262,0.390146722476367,0.590678467764732,81,18.7952474427009,2,79,-2,68
"82","Exquizit",18.1711548799049,42.212634221094,2,2,84.425268442188,"medic",0.457390565967513,0.456402495032427,0.367223055279661,0.494698422783136,82,18.1711548799049,2,80,-2,58
"83","v4na",18.0637626835648,41.9631559940763,2,2,83.9263119881526,"medic",0.49143718868412,0.405282894596233,0.329343587937793,0.451861943519872,83,18.0637626835648,2,81,-2,71
"84","Kir1to",18.0244101322678,41.8717377620186,2,2,83.7434755240373,"soldier",0.406636223765391,0.462921410787145,0.30160360573922,0.396793854373591,84,18.0244101322678,2,82,-2,72
"85","Suwawa",17.3848294623756,40.3859552098651,2,2,80.7719104197302,"medic",0.432496464268089,0.402481247637321,0.369398260731918,0.352156938116511,85,17.3848294623756,2,83,-2,73
"86","Manceloot",15.9478778782301,37.0478343245472,2,2,74.0956686490943,"scout",0.252220120840569,0.569805280111024,0.407112351569323,0.343957902535159,86,15.9478778782301,2,84,-2,76
"87","yellow.",15.8802752483582,36.8907895408763,2,2,73.7815790817525,"medic",0.376072725444356,0.344889496350809,0.241960111922816,0.295413327139619,87,15.8802752483582,2,85,-2,85
"88","Ghosty",15.7537792966126,36.5969321951667,2,2,73.1938643903334,"demoman",0.324900480816261,0.432274740973416,0.457294257554657,0.318344066602683,88,15.7537792966126,2,86,-2,77
"89","john the asian",15.2741668587425,35.4827650141867,2,1.4142135623731,50.1802075135603,"soldier",0.354123580850231,0.390347558287245,0.262028467997573,0.3106077016785,89,15.2741668587425,2,87,-2,45
"90","kenji",14.8904193740951,34.5912976138069,2,1.86606598307361,64.5496437875006,"scout",0.280951640499118,0.414558132282096,0.428227922629206,0.237971398532815,90,14.8904193740951,2,88,-2,57
"91","eeur",11.061208493333,25.6958212759877,2,2,51.3916425519753,"soldier",0.159594200459931,0.433405852803663,0.271585427154679,0.300201890249048,91,11.061208493333,2,90,-1,81
"92","Bitler",9.68656878874581,22.5024544581359,2,2,45.0049089162718,"demoman",0.1,0.559880378950914,0.101809124581987,0.452942288989865,92,9.68656878874581,2,91,-1,82
