"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes","div"
"113","kai",28,64.8838402522561,0.609619710004863,0.436744892207447,0.77062041390054,0.414071441440341,4,"scout","prem"
"114","sunbear",24,64.7554760599848,0.539793449235938,0.616610443703034,0.753764079146574,0.565199315647387,16,"scout","inter"
"115","Spade",26,64.7040645495962,0.523257763405832,0.622506551825726,0.706594247350461,0.583428517823394,6,"soldier","prem"
"116","lau",26,64.655928698392,0.546899817123462,0.571164721250756,0.713769268373952,0.644901004521374,8,"scout","prem"
"117","down",28,64.6362713594924,0.550306260022898,0.667448815461739,0.585250082942035,0.689729699371341,23,"scout","prem"
"118","Ahiru",29,64.5191527270795,0.490827908312084,0.683603352813649,0.627981934613243,0.506204187181636,8,"soldier","high"
"119","enrith",27,64.5041562571997,0.608354719387313,0.651035539038686,0.568314528494456,0.622458524232457,18,"demoman","prem"
"120","feggie",27,64.484152424318,0.625973387540003,0.572933343615514,0.636977578567738,0.591374976865578,15,"soldier","inter"
"121","v4na",27,64.4704664452492,0.652898995051423,0.495550889849714,0.657970177336716,0.428122466004476,5,"soldier","prem"
"122","yewl",28,64.3916662709163,0.574390412867198,0.648779920044421,0.507274517936151,0.625697094793175,19,"soldier","prem"
"123","riot",20,64.3912077923305,0.590920714485247,0.601247243304078,0.677698650260637,0.633006600466755,14,"soldier","prem"
"124","yuki",15,64.3656028825341,0.650714847646541,0.533714224234261,0.662590916236842,0.540913444144364,22,"scout","prem"
"125","v4na",18,64.2971987211408,0.658170925346848,0.528503040787435,0.687340001557594,0.564578268240497,10,"scout","prem"
"126","bill",28,64.2410244437659,0.481026517941763,0.726263114358426,0.550201532555849,0.654796133620844,18,"scout","inter"
"127","tstm",17,64.2375055791916,0.653908821282491,0.637058034074778,0.647261335770653,0.704757770115078,2,"soldier","prem"
"128","jane doe",28,64.1824843504957,0.566632440949539,0.59919421049105,0.698896604063991,0.536902141851344,15,"demoman","high"
"129","Lizrd-Wizrd",28,64.1701414786365,0.629489021530483,0.413652722703942,0.658691405017591,0.477991003345483,14,"soldier","inter"
"130","Geoh",17,64.0797665677133,0.732767445285426,0.502222834946109,0.695092676434815,0.622377419649066,10,"scout","prem"
"131","ace",29,64.0566646328854,0.516759405667356,0.679709204714452,0.514193811771968,0.575317634387426,6,"soldier","high"
"132","redcoat",28,64.0332990947001,0.564976927943957,0.656717274243127,0.549245037620724,0.624450904638483,17,"demoman","prem"
"133","Elmo.",16,64.0189734466096,0.618678454857185,0.538447288506066,0.714481375614093,0.533685766204859,19,"scout","prem"
"134","teejay",25,64.0113616402151,0.694380204162351,0.533385975205198,0.447270967877534,0.56168537097176,17,"scout","prem"
"135","deft",20,63.9937459336586,0.581013647850536,0.667454874873981,0.682157757728667,0.610046045682752,17,"demoman","prem"
"136","starbucks",24,63.9500870014957,0.645683134527451,0.375461240375873,0.804331473657156,0.408914228060281,4,"scout","inter"
"137","AiShou",21,63.948906038526,0.641786828746225,0.554965226282904,0.670778778877679,0.531404657519918,12,"scout","prem"
"138","matttt",23,63.8699253373139,0.652283874810371,0.593279583521523,0.503011291212527,0.628839424853562,4,"soldier","prem"
"139","deft",26,63.8613040918702,0.571210207635715,0.634193617976365,0.579217231079467,0.591180328457014,19,"demoman","prem"
"140","Daz",25,63.7654626713876,0.597655783506294,0.618506974729981,0.554343634172301,0.664493948960363,2,"soldier","inter"
"141","kanye",20,63.6912966453917,0.547218432221918,0.785288097316953,0.613459134380421,0.678637136830841,2,"scout","prem"
"142","Geoh",20,63.6770129056103,0.697292774198855,0.477628111852289,0.573857296906506,0.605238313579312,12,"soldier","prem"
"143","smazza",29,63.6603472616006,0.62668079967422,0.582767057146415,0.459337786156916,0.583712748125617,10,"scout","inter"
"144","teejay",24,63.5763036809011,0.648935363471653,0.566860470105453,0.498918403846383,0.557079189493431,15,"scout","prem"
"145","v4na",20,63.5221407748912,0.561378768761163,0.622658652892572,0.692638279825504,0.633811455986259,5,"soldier","prem"
